
> localhub@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.5:3000
- Environments: .env.local
✓ Ready in 331ms

 GET / 200 in 101ms (next.js: 3ms, proxy.ts: 2ms, application-code: 96ms)
 GET / 200 in 145ms (next.js: 1889µs, proxy.ts: 3ms, application-code: 140ms)
✓ Compiled in 230ms
 GET / 200 in 310ms (next.js: 84ms, proxy.ts: 24ms, application-code: 202ms)
 GET / 200 in 104ms (next.js: 2ms, proxy.ts: 3ms, application-code: 98ms)
 GET / 200 in 183ms (next.js: 2ms, proxy.ts: 4ms, application-code: 177ms)
✓ Compiled in 62ms
 GET / 200 in 276ms (next.js: 73ms, proxy.ts: 18ms, application-code: 185ms)
 GET / 200 in 117ms (next.js: 3ms, proxy.ts: 5ms, application-code: 110ms)
✓ Compiled in 66ms
 GET / 200 in 362ms (next.js: 89ms, proxy.ts: 20ms, application-code: 253ms)
 GET / 200 in 98ms (next.js: 2ms, proxy.ts: 3ms, application-code: 92ms)
 GET / 200 in 229ms (next.js: 3ms, proxy.ts: 4ms, application-code: 222ms)
✓ Compiled in 57ms
 GET / 200 in 293ms (next.js: 68ms, proxy.ts: 19ms, application-code: 206ms)
 GET / 200 in 105ms (next.js: 3ms, proxy.ts: 6ms, application-code: 96ms)
 GET / 404 in 195ms (next.js: -10772µs, proxy.ts: 193ms, application-code: 13ms)
 GET / 500 in 53ms (next.js: -7795µs, proxy.ts: 49ms, application-code: 11ms)
✓ Compiled in 77ms
 GET / 200 in 478ms (next.js: 71ms, proxy.ts: 43ms, application-code: 364ms)
 GET / 200 in 500ms (next.js: 4ms, proxy.ts: 5ms, application-code: 492ms)
 GET /merchant 307 in 301ms (next.js: 125ms, proxy.ts: 6ms, application-code: 170ms)
 GET /login 200 in 230ms (next.js: 61ms, proxy.ts: 6ms, application-code: 162ms)
 GET / 200 in 225ms (next.js: 5ms, proxy.ts: 4ms, application-code: 217ms)
 POST /api/auth/login 307 in 510ms (next.js: 97ms, proxy.ts: 7ms, application-code: 406ms)
 GET / 200 in 254ms (next.js: 2ms, proxy.ts: 4ms, application-code: 248ms)
 GET /login 200 in 132ms (next.js: 3ms, proxy.ts: 88ms, application-code: 40ms)
 GET /ricerca?q=Gates+ 200 in 1350ms (next.js: 168ms, proxy.ts: 142ms, application-code: 1040ms)
 POST /api/auth/register 307 in 696ms (next.js: 267ms, proxy.ts: 4ms, application-code: 425ms)
 POST /api/auth/login 307 in 106ms (next.js: 3ms, proxy.ts: 4ms, application-code: 100ms)
 POST /api/ricerca-ai 200 in 854ms (next.js: 46ms, proxy.ts: 3ms, application-code: 804ms)
 POST /api/search 200 in 565ms (next.js: 42ms, proxy.ts: 5ms, application-code: 518ms)
 POST /api/ricerca-ai 400 in 10ms (next.js: 2ms, proxy.ts: 4ms, application-code: 4ms)
 GET /ricerca?q=Gates+ 200 in 1013ms (next.js: 4ms, proxy.ts: 202ms, application-code: 807ms)
 POST /api/auth/register 307 in 1048ms (next.js: 3ms, proxy.ts: 4ms, application-code: 1042ms)
 POST /api/ricerca-ai 200 in 581ms (next.js: 3ms, proxy.ts: 4ms, application-code: 574ms)
 POST /api/ricerca-ai 200 in 495ms (next.js: 3ms, proxy.ts: 5ms, application-code: 487ms)
 POST /api/ricerca-ai 200 in 527ms (next.js: 4ms, proxy.ts: 3ms, application-code: 520ms)
 POST /api/ricerca-ai 200 in 405ms (next.js: 3ms, proxy.ts: 4ms, application-code: 398ms)
 POST /api/search 200 in 569ms (next.js: 3ms, proxy.ts: 4ms, application-code: 563ms)
 POST /api/search 200 in 455ms (next.js: 3ms, proxy.ts: 6ms, application-code: 447ms)
 POST /api/search 200 in 542ms (next.js: 3ms, proxy.ts: 3ms, application-code: 536ms)
 POST /api/search 200 in 422ms (next.js: 2ms, proxy.ts: 6ms, application-code: 413ms)
 POST /api/ricerca-ai 400 in 11ms (next.js: 3ms, proxy.ts: 4ms, application-code: 4ms)
 POST /api/search 500 in 24ms (next.js: 7ms, proxy.ts: 4ms, application-code: 13ms)
 GET /api/ricerca-ai 405 in 11ms (next.js: 4ms, proxy.ts: 5ms, application-code: 3ms)
 GET /merchant 307 in 51ms (next.js: 3ms, proxy.ts: 4ms, application-code: 44ms)
 GET /ricerca?q=Gates+ 200 in 1033ms (next.js: 5ms, proxy.ts: 184ms, application-code: 845ms)
